time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/std,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/approx_kl
60,49.15,122880,-173.96158990000004,71,1727,-1.2263007659465075,0.0005374399391671351,0.8117750287055969,590,0.12384784974010783,-0.0025567663440597245,0.037158203125,1650.0372060775758,807.7626953125,0.8964037746191025,0.0024546338
61,40.67,124928,-174.88157030000002,72,1727,-1.1998754907399416,0.0005374399391671351,0.7957377433776855,600,0.12384784974010783,-0.0009608225402189419,0.0283203125,1805.0777894973755,1405.6546630859375,0.85035640001297,0.0007792316
62,46.85,126976,-195.81298888,73,1728,-1.1780840884894133,0.0005374399391671351,0.7799298763275146,610,0.12384784974010783,-0.0021076759716379457,0.041943359375,1353.375075531006,1264.4171142578125,0.7553154826164246,0.0014608649
63,48.98,129024,-181.86791572,74,1728,-1.1582475256174802,0.0005374399391671351,0.7672474384307861,620,0.12384784974010783,-0.0013329354733286891,0.06181640625,1001.1582030296325,1170.2880859375,0.8712552338838577,0.004212721
64,47.5,131072,-158.24829966999997,75,1727,-1.1451024163514376,0.0005374399391671351,0.756902277469635,630,0.12384784974010783,-0.0008441387923085131,0.039501953125,1127.8964904785157,1359.527587890625,0.8354953080415726,0.001789618
65,50.44,133120,-154.23922596999998,77,1727,-1.1442219562828542,0.0005374399391671351,0.7614681124687195,640,0.12384784974010783,0.00016650766046950595,0.031591796875,1001.5532400131226,470.84002685546875,0.9026952236890793,0.0015252635
66,49.7,135168,-150.8738091,78,1725,-1.1356080695986748,0.0005374399391671351,0.7482972741127014,650,0.12384784974010783,-0.0006955728778848425,0.045263671875,932.7893211364747,440.8609313964844,0.9059830754995346,0.0015341977
67,44.9,137216,-138.18149834000002,79,1725,-1.1185817644000053,0.0005374399391671351,0.7336838841438293,660,0.12384784974010783,-0.002213839085015934,0.053955078125,1090.8152961730957,629.089599609375,0.8863378614187241,0.003293991
68,40.29,139264,-128.79936196999998,80,1724,-1.097933827340603,0.0005374399391671351,0.7193382382392883,670,0.12384784974010783,-0.0016104262322187424,0.047412109375,973.764113330841,411.99072265625,0.9062083289027214,0.0024803854
69,37.28,141312,-140.86451512,81,1723,-1.072655488178134,0.0005374399391671351,0.700722873210907,680,0.12384784974010783,-0.0012510550353908912,0.051953125,1226.2038110733033,1126.7110595703125,0.8867489024996758,0.0020560848
70,39.41,143360,-143.4751574,83,1723,-1.0583161037415265,0.0005374399391671351,0.6926168203353882,690,0.12384784974010783,-0.0010229776693449822,0.056396484375,992.7503116607666,654.0648803710938,0.826382040977478,0.0016290445
71,41.06,145408,-96.58765415999999,84,1723,-1.0473036680370569,0.0005374399391671351,0.6878644227981567,700,0.12384784974010783,-0.0007718193439359311,0.03623046875,921.7018772125244,394.9154052734375,0.9025803282856941,0.0014387711
72,40.82,147456,-111.99572464000002,85,1722,-1.0204416137188672,0.0005374399391671351,0.6602504253387451,710,0.12384784974010783,-0.002706823931657709,0.046484375,1264.7035604476928,949.8397216796875,0.8258472234010696,0.0028556748
73,43.95,149504,-143.09495501,86,1722,-0.9920212797820568,0.0005374399391671351,0.6478878855705261,720,0.12384784974010783,-0.001808175747282803,0.05771484375,1100.8759108543395,558.730712890625,0.8566626310348511,0.0024796878
74,44.5,151552,-130.85612918,88,1721,-0.9791010098531843,0.0005374399391671351,0.63872230052948,730,0.12384784974010783,-0.00039836731448303906,0.030078125,946.5424642562866,639.372802734375,0.8815876916050911,0.001907188
75,36.22,153600,-75.73868423,89,1721,-0.9717856831848621,0.0005374399391671351,0.6394360065460205,740,0.12384784974010783,-0.0016729740280425176,0.063134765625,992.9661327362061,618.0252075195312,0.8098377734422684,0.0014272584
76,35.55,155648,-78.46663636,90,1720,-0.9646841360256075,0.0005374399391671351,0.6293689012527466,750,0.12384784974010783,-0.0028040366574714425,0.05341796875,1047.615463733673,577.0558471679688,0.8798927739262581,0.0021463262
77,36.99,157696,-90.7883694,91,1720,-0.951382171548903,0.0005374399391671351,0.6248841285705566,760,0.12384784974010783,-0.0013831370204570703,0.04912109375,920.773175239563,544.2620849609375,0.8213783204555511,0.0018996948
78,34.84,159744,-72.39027784000001,92,1719,-0.9475548230111599,0.0005374399391671351,0.6237167119979858,770,0.12384784974010783,-0.0017550181815749965,0.059716796875,1107.8296871185303,568.0836791992188,0.8217901587486267,0.0024257852
79,36.82,161792,-68.34153574000001,94,1718,-0.9391062177717686,0.0005374399391671351,0.6151910424232483,780,0.12384784974010783,-0.0007974974403623491,0.046435546875,1089.8019932746888,651.5612182617188,0.8806195259094238,0.0019305338
80,37.42,163840,-107.18126316,95,1718,-0.9235827157273888,0.0005374399391671351,0.6080118417739868,790,0.12384784974010783,-0.0018877776252338662,0.068212890625,822.8168936729431,658.3085327148438,0.8396397531032562,0.003588546
81,39.49,165888,-58.03924372,96,1717,-0.9196101810783148,0.0005374399391671351,0.607096254825592,800,0.12384784974010783,-0.0008528333964932244,0.069384765625,962.8170457839966,434.29205322265625,0.8616541177034378,0.0030230666
82,36.87,167936,-45.15102625,97,1717,-0.9104005450382828,0.0005374399391671351,0.5982698202133179,810,0.12384784974010783,-0.0003113866754574701,0.058740234375,1295.9853506088257,1292.9910888671875,0.785017654299736,0.0025611753
83,34.53,169984,-51.942551980000005,98,1717,-0.8985657408833504,0.0005374399391671351,0.5915586948394775,820,0.12384784974010783,-0.002987801597919315,0.081884765625,1071.41991481781,851.7904052734375,0.8217415809631348,0.0018292285
84,38.74,172032,-75.87333389,100,1716,-0.8842841938138009,0.0005374399391671351,0.5826173424720764,830,0.12384784974010783,-0.0013618758588563652,0.04921875,1046.352398300171,574.8120727539062,0.8282758593559265,0.0018329003
85,36.89,174080,-70.80617592,101,1715,-0.8646697347983718,0.0005374399391671351,0.5698213577270508,840,0.12384784974010783,-0.0006506574747618288,0.05966796875,855.5080041885376,635.28759765625,0.8194646388292313,0.0031769238
86,36.57,176128,-69.75053939,102,1715,-0.8486001584678888,0.0005374399391671351,0.5618704557418823,850,0.12384784974010783,0.0004990818961232435,0.046484375,931.5971063613891,530.6245727539062,0.8094322681427002,0.0021168462
87,40.53,178176,-97.56851734999998,103,1715,-0.8381614273414015,0.0005374399391671351,0.5595253705978394,860,0.12384784974010783,0.0003521053520671558,0.048876953125,857.7136162757873,424.49810791015625,0.7991269677877426,0.0017603275
88,39.0,180224,-85.10384873,105,1715,-0.8322065569460392,0.0005374399391671351,0.5547511577606201,870,0.12384784974010783,-0.0008537402049114462,0.050146484375,753.2004259109497,250.57785034179688,0.8444158881902695,0.0020355843
89,30.18,182272,-35.137343269999995,106,1715,-0.8341460382565856,0.0005374399391671351,0.5609337687492371,880,0.12384784974010783,-0.0004722862140624784,0.059228515625,825.0382221221923,332.66888427734375,0.8688939213752747,0.0018915934
